9250749006511450845216616038487555589179237539058145948830187658304606533 84508966574692958848206760026713633994508657983867782525903152068603880331419528
93 22
3 2
9 2
12 4
221 736
21 36
1 6
2 3
3 9
2 7
23 43
3 3
2 4
5 7
908 1451
8 51
9 14
17 65
7 5
1 6
8 11
1047219800 1386484425
19800 84425
800 425
0 25
8 4
8 29
19 84
9 4
1 8
10 12
0 2
1 1
1 3
819 509
19 9
8 5
27 14
7 4
2 1
9 5
10472 13864
472 864
72 64
2 4
7 6
9 10
4 8
76 72
6 2
7 7
13 9
10 13
0 3
1 1
1 4
482 877
82 77
2 7
8 7
10 14
0 4
1 1
1 5
4 8
86 85
6 5
8 8
14 13
4 3
1 1
5 4
30272 98289
272 289
72 89
2 9
7 8
9 17
2 2
74 91
4 1
7 9
11 10
1 0
1 1
2 1
30 98
0 8
3 9
3 17
302 387
2 87
3 3
5 90
34742407792 59543162984
407792 162984
792 984
92 84
2 4
9 8
11 12
1 2
1 1
2 3
7 9
99 93
9 3
9 9
18 12
8 2
1 1
9 3
407 162
7 62
4 1
11 63
1 3
1 6
2 9
1199 1146
99 46
9 6
9 4
18 10
8 0
1 1
9 1
11 11
1 1
1 1
2 2
110 57
10 57
0 7
1 5
1 12
1 0
11 57
1 7
1 5
2 12
34742 59543
742 543
42 43
2 3
4 4
6 7
7 5
49 48
9 8
4 4
13 12
3 2
1 1
4 3
34 59
4 9
3 5
7 14
776 602
76 2
7 6
83 8
442534 222527
534 527
34 27
4 7
3 2
7 9
5 5
39 32
9 2
3 3
12 5
442 222
42 22
2 2
4 2
6 4
4 2
46 24
6 4
4 2
10 6
976 749
76 49
6 9
7 4
13 13
3 3
1 1
4 4
9 7
85 56
5 6
8 5
13 11
3 1
1 1
4 2
925074900651145084521661603848755 8450896657469295884820676002671363399450
45084521661603848755 20676002671363399450
1603848755 1363399450
48755 99450
755 450
55 50
5 0
5 5
10 5
7 4
62 54
2 4
6 5
8 9
48 99
8 9
4 9
12 18
2 8
1 1
3 9
803 549
3 49
8 5
11 54
1 4
1 5
2 9
16038 13633
38 633
38 33
8 3
3 3
11 6
0 6
38 39
8 9
3 3
11 12
1 2
1 1
2 3
16 13
6 3
1 1
7 4
54 646
54 46
4 6
5 4
9 10
0 6
54 52
4 2
5 5
9 7
64793 113083
793 83
93 83
3 3
9 8
12 11
2 1
1 1
3 2
7 0
100 83
0 83
1 0
1 83
64 113
64 13
4 3
6 1
10 4
0 1
64 14
4 4
6 1
10 5
857 196
57 96
7 6
5 9
12 15
2 5
1 1
3 6
8 1
65 97
5 7
6 9
11 16
1 6
1 1
2 7
4508452166 2067600267
52166 267
166 267
66 67
6 7
6 6
12 13
2 3
1 1
3 4
1 2
67 69
7 9
6 6
13 15
3 5
1 1
4 6
52 0
218 267
18 67
8 7
1 6
9 13
2 2
20 69
0 9
2 6
2 15
45084 20676
84 676
84 76
4 6
8 7
12 13
2 3
1 1
3 4
0 6
84 82
4 2
8 8
12 10
2 0
1 1
3 1
45 20
5 0
4 2
9 2
129 696
29 96
9 6
2 9
11 15
1 5
1 1
2 6
1 6
30 102
30 2
0 1
30 3
97250 20943
250 943
50 43
0 3
5 4
5 7
2 9
52 52
2 2
5 5
7 7
97 20
7 0
9 2
16 2
347 963
47 63
7 3
4 6
11 9
3 9
50 72
0 2
5 7
5 9
6112300921 3430999717
921 99717
921 717
21 17
1 7
2 1
3 8
9 7
30 24
0 4
3 2
3 6
0 99
921 816
21 16
1 6
2 1
3 7
9 8
30 24
0 4
3 2
3 6
61123 34309
123 309
23 9
1 3
24 12
4 2
2 1
6 3
61 34
1 4
6 3
7 7
184 343
84 43
4 3
8 4
12 7
1 3
85 46
5 6
8 4
13 10
3 0
1 1
4 1
62044 134026
44 26
4 6
4 2
8 8
62 134
62 34
2 4
6 3
8 7
0 1
62 35
2 5
6 3
8 8
106 160
6 60
1 1
7 61
9250749006511 84508966574692958848
749006511 4692958848
6511 58848
511 848
11 48
1 8
1 4
2 12
5 8
16 56
6 6
1 5
7 11
6 58
517 906
17 6
5 9
22 15
2 5
2 1
4 6
7490 46929
490 929
90 29
0 9
9 2
9 11
4 9
94 38
4 8
9 3
13 11
3 1
1 1
4 2
7 46
497 975
97 75
7 5
9 7
16 12
6 2
1 1
7 3
4 9
101 84
1 84
1 0
2 84
14001 105777
1 777
14 105
14 5
0 1
14 6
15 882
15 82
5 2
1 8
6 10
0 8
15 90
5 0
1 9
6 9
925 8450896657
925 96657
925 657
25 57
5 7
2 5
7 12
9 6
34 63
4 3
3 6
7 9
0 96
925 753
25 53
5 3
2 5
7 8
9 7
34 60
4 0
3 6
7 6
0 84508
925 181165
925 165
25 65
5 5
2 6
7 11
9 1
34 66
4 6
3 6
7 12
0 181
925 346
25 46
5 6
2 4
7 10
9 3
34 49
4 9
3 4
7 13
749007436 13143855505
7436 855505
436 505
36 5
4 5
40 10
0 0
4 1
4 1
7 855
443 1360
43 60
3 0
4 6
7 6
4 13
47 73
7 3
4 7
11 10
1 0
1 1
2 1
749 13143
749 143
49 43
9 3
4 4
13 7
7 1
56 44
6 4
5 4
11 8
0 13
749 156
49 56
9 6
4 5
13 11
3 1
1 1
4 2
7 1
56 57
6 7
5 5
11 12
1 2
1 1
2 3
8185 868648
185 648
85 48
5 8
8 4
13 12
3 2
1 1
4 3
1 6
86 54
6 4
8 5
14 9
8 868
193 1516
93 16
3 6
9 1
12 7
1 15
94 31
4 1
9 3
13 4
45084530912352855266 105184969246056358298
12352855266 46056358298
855266 358298
266 298
66 98
6 8
6 9
12 17
2 7
1 1
3 8
2 2
68 100
68 0
0 1
68 1
855 358
55 58
5 8
5 5
10 13
0 3
1 1
1 4
8 3
63 61
3 1
6 6
9 7
1121 656
21 56
1 6
2 5
3 11
11 6
32 62
2 2
3 6
5 8
12352 46056
352 56
52 56
2 6
5 5
7 11
3 0
55 56
5 6
5 5
10 11
0 1
1 1
1 2
12 46
2 6
1 4
3 10
364 102
64 2
3 1
67 3
867618 404354
618 354
18 54
8 4
1 5
9 9
6 3
24 57
4 7
2 5
6 12
867 404
67 4
8 4
75 8
1485 758
85 58
5 8
8 5
13 13
3 3
1 1
4 4
14 7
99 65
9 5
9 6
18 11
8 1
1 1
9 2
450845309 1051849692
45309 49692
309 692
9 92
3 6
12 98
2 8
1 9
3 17
45 49
5 9
4 4
9 13
354 741
54 41
4 1
5 4
9 5
3 7
57 48
7 8
5 4
12 12
2 2
1 1
3 3
4508 10518
508 518
8 18
5 5
13 23
3 3
1 2
4 5
4 10
512 528
12 28
2 8
1 2
3 10
5 5
17 33
7 3
1 3
8 6
49817 60210
817 210
17 10
7 0
1 1
8 1
8 2
25 12
5 2
2 1
7 3
49 60
9 0
4 6
13 6
866 270
66 70
6 0
6 7
12 7
8 2
74 72
4 2
7 7
11 9
12803700575 47108207990
700575 207990
575 990
75 90
5 0
7 9
12 9
5 9
80 99
0 9
8 9
8 18
700 207
0 7
7 2
7 9
1275 1197
75 97
5 7
7 9
12 16
2 6
1 1
3 7
12 11
2 1
1 1
3 2
87 108
87 8
0 1
87 9
12803 47108
803 108
3 8
8 1
11 9
12 47
2 7
1 4
3 11
815 155
15 55
5 5
1 5
6 10
8 1
23 56
3 6
2 5
5 11
713378 255098
378 98
78 98
8 8
7 9
15 17
5 7
1 1
6 8
3 0
81 98
1 8
8 9
9 17
713 255
13 55
3 5
1 5
4 10
7 2
20 57
0 7
2 5
2 12
1091 353
91 53
1 3
9 5
10 8
10 3
101 56
1 56
1 0
2 56
5589180162613958797093914709319908455288 17108880525251821787972744606551694818978
93914709319908455288 972744606551694818978
19908455288 51694818978
455288 818978
288 978
88 78
8 8
8 7
16 15
6 5
1 1
7 6
2 9
90 87
0 7
9 8
9 15
455 818
55 18
5 8
5 1
10 9
4 8
59 26
9 6
5 2
14 8
743 1796
43 96
3 6
4 9
7 15
7 17
50 113
50 13
0 3
5 1
5 4
0 1
50 14
0 4
5 1
5 5
19908 51694
908 694
8 94
9 6
17 100
17 0
0 1
17 1
19 51
9 1
1 5
10 6
927 745
27 45
7 5
2 4
9 9
9 7
36 52
6 2
3 5
9 7
475196 870672
196 672
96 72
6 2
9 7
15 9
1 6
97 78
7 8
9 7
16 15
6 5
1 1
7 6
475 870
75 70
5 0
7 7
12 7
4 8
79 78
9 8
7 7
16 15
6 5
1 1
7 6
671 1542
71 42
1 2
7 4
8 6
6 15
77 57
7 7
7 5
14 12
4 2
1 1
5 3
939147093 9727446065
47093 46065
93 65
3 5
9 6
12 11
2 1
1 1
3 2
47 46
7 6
4 4
11 10
1 0
1 1
2 1
140 111
40 11
0 1
4 1
4 2
1 1
41 12
1 2
4 1
5 3
9391 97274
391 274
91 74
1 4
9 7
10 11
0 1
1 1
1 2
3 2
94 76
4 6
9 7
13 13
3 3
1 1
4 4
9 97
400 371
0 71
4 3
4 74
56484 143339
484 339
84 39
4 9
8 3
12 12
2 2
1 1
3 3
4 3
88 42
8 2
8 4
16 6
56 143
56 43
6 3
5 4
11 7
0 1
56 44
6 4
5 4
11 8
540 482
40 82
0 2
4 8
4 10
5 4
45 86
5 6
4 8
9 14
20847602381 61422265043
602381 265043
381 43
81 43
1 3
8 4
9 7
3 0
84 43
4 3
8 4
12 7
602 265
2 65
6 2
8 67
983 308
83 8
9 3
92 11
2 1
9 1
11 2
20847 61422
847 422
47 22
7 2
4 2
11 4
8 4
55 26
5 6
5 2
10 8
20 61
0 1
2 6
2 7
867 483
67 83
7 3
6 8
13 11
3 1
1 1
4 2
8 4
75 87
5 7
7 8
12 15
2 5
1 1
3 6
623228 326465
228 465
28 65
8 5
2 6
10 11
0 1
1 1
1 2
2 4
30 69
0 9
3 6
3 15
623 326
23 26
3 6
2 2
5 8
6 3
29 29
9 9
2 2
11 11
1 1
1 1
2 2
851 791
51 91
1 1
5 9
6 10
8 7
59 98
9 8
5 9
14 17
4 7
1 1
5 8
5589180162613958797 17108880525251821787
2613958797 5251821787
58797 21787
797 787
97 87
7 7
9 8
16 15
6 5
1 1
7 6
7 7
104 94
4 94
1 0
5 94
58 21
8 1
5 2
13 3
855 808
55 8
8 8
63 16
3 6
6 1
9 7
26139 52518
139 518
39 18
9 8
3 1
12 9
1 5
40 23
0 3
4 2
4 5
26 52
6 2
2 5
8 7
165 570
65 70
5 0
6 7
11 7
1 5
66 75
6 5
6 7
12 12
2 2
1 1
3 3
84936 74305
936 305
36 5
9 3
45 8
84 74
4 4
8 7
12 11
2 1
1 1
3 2
1020 379
20 79
0 9
2 7
2 16
10 3
30 82
0 2
3 8
3 10
558918016 1710888052
18016 88052
16 52
6 2
1 5
7 7
18 88
8 8
1 8
9 16
34 140
34 40
4 0
3 4
7 4
0 1
34 41
4 1
3 4
7 5
5589 17108
589 108
89 8
5 1
94 9
5 17
594 125
94 25
4 5
9 2
13 7
5 1
99 26
9 6
9 2
18 8
23605 105160
605 160
5 60
6 1
11 61
1 1
1 6
2 7
23 105
23 5
0 1
23 6
628 265
28 65
8 5
2 6
10 11
0 1
1 1
1 2
6 2
34 67
4 7
3 6
7 13
3172876813 6962709839
76813 9839
813 839
13 39
3 9
1 3
4 12
8 8
21 47
1 7
2 4
3 11
76 9
889 848
89 48
9 8
8 4
17 12
7 2
1 1
8 3
8 8
97 56
7 6
9 5
16 11
6 1
1 1
7 2
31728 69627
728 627
28 27
8 7
2 2
10 9
7 6
35 33
5 3
3 3
8 6
31 69
1 9
3 6
4 15
759 696
59 96
9 6
5 9
14 15
4 5
1 1
5 6
7 6
66 102
66 2
0 1
66 3
108541 79466
541 466
41 66
1 6
4 6
5 12
5 4
46 70
6 0
4 7
10 7
108 79
8 79
1 0
9 79
649 545
49 45
9 5
4 4
13 9
6 5
55 50
5 0
5 5
10 5
99503889482522414085 989853487076946640765
82522414085 76946640765
414085 640765
85 765
85 65
5 5
8 6
13 11
3 1
1 1
4 2
0 7
85 72
5 2
8 7
13 9
414 640
14 40
4 0
1 4
5 4
4 6
18 46
8 6
1 4
9 10
499 1405
99 5
4 14
103 19
3 19
1 0
4 19
82522 76946
522 946
22 46
2 6
2 4
4 10
5 9
27 55
7 5
2 5
9 10
82 76
2 6
8 7
10 13
0 3
1 1
1 4
604 1022
4 22
6 10
10 32
0 2
1 3
1 5
496607 717711
607 711
7 11
6 7
13 18
3 8
1 1
4 9
496 717
96 17
6 7
9 1
15 8
4 7
100 24
0 24
1 0
1 24
1103 1428
3 28
11 14
1 4
1 1
2 5
14 42
4 2
1 4
5 6
995038894 9898534870
38894 34870
894 870
94 70
4 0
9 7
13 7
8 8
102 78
2 78
1 0
3 78
38 34
8 4
3 3
11 7
932 904
32 4
9 9
41 13
1 3
4 1
5 4
9950 98985
950 985
50 85
0 5
5 8
5 13
9 9
59 94
9 4
5 9
14 13
4 3
1 1
5 4
9 98
959 1083
59 83
9 3
5 8
14 11
4 1
1 1
5 2
9 10
68 93
8 3
6 9
14 12
4 2
1 1
5 3
48844 133855
844 855
44 55
4 5
4 5
8 10
8 8
52 63
2 3
5 6
7 9
48 133
48 33
8 3
4 3
12 6
0 1
48 34
8 4
4 3
12 7
892 988
92 88
2 8
9 8
11 16
1 6
1 1
2 7
8 9
100 97
0 97
1 0
1 97
83517452979 86845175635
452979 175635
979 635
79 35
9 5
7 3
16 8
9 6
88 41
8 1
8 4
16 5
452 175
52 75
2 5
5 7
7 12
4 1
56 76
6 6
5 7
11 13
1 3
1 1
2 4
1431 810
31 10
1 0
3 1
4 1
14 8
45 18
5 8
4 1
9 9
83517 86845
517 845
17 45
7 5
1 4
8 9
5 8
22 53
2 3
2 5
4 8
83 86
3 6
8 8
11 14
1 4
1 1
2 5
600 931
0 31
6 9
6 40
536496 262480
496 480
96 80
6 0
9 8
15 8
4 4
100 84
0 84
1 0
1 84
536 262
36 62
6 2
3 6
9 8
5 2
41 64
1 4
4 6
5 10
1032 742
32 42
2 2
3 4
5 6
10 7
42 49
2 9
4 4
6 13
781771238582150296203257057174154496073172196986559801428391517995631498840501580446091900893164519071855038693594863549875987228715191903886017392576424
